file,marker,count
idaes/models/costing/tests/test_QGESS.py,component,3
idaes/models/costing/tests/test_QGESS.py,parametrize,5
idaes/models/costing/tests/test_QGESS.py,unit,52
idaes/models/costing/tests/test_SSLW.py,component,13
idaes/models/costing/tests/test_SSLW.py,integration,1
idaes/models/costing/tests/test_SSLW.py,parametrize,29
idaes/models/costing/tests/test_SSLW.py,skipif,2
idaes/models/flowsheets/tests/test_demo_flowsheet.py,integration,1
idaes/models/flowsheets/tests/test_demo_flowsheet.py,unit,5
idaes/models/properties/activity_coeff_models/tests/test_ideal_NRTL.py,integration,1
idaes/models/properties/activity_coeff_models/tests/test_ideal_NRTL.py,unit,4
idaes/models/properties/activity_coeff_models/tests/test_ideal_Wilson.py,integration,1
idaes/models/properties/activity_coeff_models/tests/test_ideal_Wilson.py,unit,4
idaes/models/properties/activity_coeff_models/tests/test_ideal_ideal_FTPz.py,component,30
idaes/models/properties/activity_coeff_models/tests/test_ideal_ideal_FTPz.py,skipif,18
idaes/models/properties/activity_coeff_models/tests/test_ideal_ideal_FTPz.py,unit,12
idaes/models/properties/activity_coeff_models/tests/test_ideal_ideal_FcTP.py,component,30
idaes/models/properties/activity_coeff_models/tests/test_ideal_ideal_FcTP.py,skipif,18
idaes/models/properties/activity_coeff_models/tests/test_ideal_ideal_FcTP.py,unit,12
idaes/models/properties/examples/tests/test_saponification_reaction.py,unit,11
idaes/models/properties/examples/tests/test_saponification_thermo.py,component,2
idaes/models/properties/examples/tests/test_saponification_thermo.py,unit,25
idaes/models/properties/general_helmholtz/tests/test_functions_unit.py,skipif,17
idaes/models/properties/general_helmholtz/tests/test_functions_unit.py,unit,19
idaes/models/properties/general_helmholtz/tests/test_parameter_util.py,unit,10
idaes/models/properties/general_helmholtz/tests/test_register.py,unit,7
idaes/models/properties/general_helmholtz/tests/test_stateblock.py,unit,5
idaes/models/properties/general_helmholtz/tests/test_with_harness.py,skipif,24
idaes/models/properties/general_helmholtz/tests/test_with_heater.py,integration,11
idaes/models/properties/general_helmholtz/tests/test_with_heater.py,skipif,11
idaes/models/properties/interrogator/tests/test_properties_interrogator.py,component,2
idaes/models/properties/interrogator/tests/test_properties_interrogator.py,unit,26
idaes/models/properties/interrogator/tests/test_reactions_interrogator.py,component,2
idaes/models/properties/interrogator/tests/test_reactions_interrogator.py,unit,16
idaes/models/properties/modular_properties/base/tests/test_electrolyte_components.py,unit,4
idaes/models/properties/modular_properties/base/tests/test_generic_property.py,integration,1
idaes/models/properties/modular_properties/base/tests/test_generic_property.py,unit,72
idaes/models/properties/modular_properties/base/tests/test_generic_property_integration.py,component,4
idaes/models/properties/modular_properties/base/tests/test_generic_property_integration.py,unit,1
idaes/models/properties/modular_properties/base/tests/test_generic_reaction.py,unit,23
